text,label,clean_text
Mild COVID-19 Often Only Shows Gastro Symptoms,1,mild covid often shows gastro symptoms
"COVID-19 Likely Worse for Vapers, Smokers",1,covid likely worse vapers smokers
Says American NIAID director Dr. Anthony Fauci Òstands to lose 100 million dollars on Bill Gates ÔvaccineÕ for the coronavirus. Because he invested in this vaccine.Ó,0,says american niaid director dr anthony fauci stands lose million dollars bill gates vaccine coronavirus invested vaccine
Young People Far From Immune to Coronavirus' Bite,1,young people far immune coronavirus bite
"ÒThe State of Florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6.Ó",0,state florida announced measures workplaces employees paid mandatory leave avoid spread covid coronavirus starting march schools close weeks also march
Social Distancing May Need to Last Months: Study,1,social distancing may need last months study
Florida Students Bring COVID Back from Spring Break,1,florida students bring covid back spring break
Researchers identify potential coronavirus vaccine and therapy targets,1,researchers identify potential coronavirus vaccine therapy targets
Resources for Institutes of Higher Education,1,resources institutes higher education
COVID-19: What people with HIV should know,1,covid people hiv know
"42 Democratic senators, plus two Independents, voted against sending direct payments to Americans as part of the coronavirus economic stimulus package.",0,democratic senators plus two independents voted sending direct payments americans part coronavirus economic stimulus package
"Global Appeal to MI, Stroke Patients to Seek Care Amid Pandemic",1,global appeal mi stroke patients seek care amid pandemic
The National Library of Medicine expands access to coronavirus literature through PubMed Central,1,national library medicine expands access coronavirus literature pubmed central
Commentary: What If There Is a Virtual ACC and Nobody Cares?,1,commentary virtual acc nobody cares
"Loss of smell may suggest milder COVID-19, study finds",1,loss smell may suggest milder covid study finds
NIH to launch public-private partnership to speed COVID-19 vaccine and treatment options,1,nih launch publicprivate partnership speed covid vaccine treatment options
Novel Coronavirus: Study Suggests Multiple Shedding Routes,1,novel coronavirus study suggests multiple shedding routes
"The coronavirus test costs $3,200.",0,coronavirus test costs
Considerations for Optimizing the Supply of Powered Air-Purifying Respirators (PAPRs),1,considerations optimizing supply powered airpurifying respirators paprs
What Life Is Like on the Front Lines of the COVID-19 Outbreak,1,life like front lines covid outbreak
A Step-by-Step Guide to Preventing PPE-Related Skin Damage,1,stepbystep guide preventing pperelated skin damage
COMMENTARY: 'Cybertricians' Help COVID Patients Stay Home,1,commentary cybertricians help covid patients stay home
Testing for Coronavirus (COVID-19) in Nursing Homes,1,testing coronavirus covid nursing homes
COVID-19 expert calls for a 'tremendous effort from everyone' to fight pandemic,1,covid expert calls tremendous effort everyone fight pandemic
"""Kyrgyzstan scaling up its preparedness, readiness and response capacities: COVID-19""",1,kyrgyzstan scaling preparedness readiness response capacities covid
How to Prep for the Coronavirus at Home,1,prep coronavirus home
Rural America Could Be the Region Hardest Hit by the COVID-19 Outbreak,1,rural america could region hardest hit covid outbreak
"""Initial Investigation of Transmission of COVID-19 Among Crew Members During Quarantine of a Cruise Ship — Yokohama, Japan, February 2020""",1,initial investigation transmission covid among crew members quarantine cruise ship yokohama japan february
NYU Med School Offers Early Graduation for Help With COVID-19,1,nyu med school offers early graduation help covid
COMMENTARY: Social Distancing via TikTok: Education During COVID-19,1,commentary social distancing via tiktok education covid
Says the U.S. is developing an ÒantivirusÓ that includes a chip to track your movement.,0,says us developing antivirus includes chip track movement
Ten Clinical Tips on COVID-19 for Healthcare Providers Involved in Patient Care,1,ten clinical tips covid healthcare providers involved patient care
4 Debunked Myths About Living with Asthma During Cold and Flu Season,1,debunked myths living asthma cold flu season
Rapid Infectious Disease Shifts in Chinese Children and Adolescents Prior to COVID-19,1,rapid infectious disease shifts chinese children adolescents prior covid
"A meme shows an image of fully stocked shelves of toilet paper, purportedly during the 2009 H1N1 outbreak, above barren shelves during the ongoing COVID-19 pandemic.",0,meme shows image fully stocked shelves toilet paper purportedly hn outbreak barren shelves ongoing covid pandemic
Strategies for Optimizing the Supply of N95 Respirators: Conventional Capacity Strategies,1,strategies optimizing supply n respirators conventional capacity strategies
Strategies for Optimizing the Supply of Disposable Medical Gloves,1,strategies optimizing supply disposable medical gloves
Where Did the COVID-19 Virus Come From?,1,covid virus come
Coronavirus is fake or a made-up ploy by 5G.,0,coronavirus fake madeup ploy g
Says Democrats are on vacation until May 4 and Òrefuse to come backÓ to sign a bill to help small businesses.,0,says democrats vacation may refuse come back sign bill help small businesses
Florida Community Mitigation,1,florida community mitigation
COMMENTARY: Why I Founded United Physicians and Why You Should Join,1,commentary founded united physicians join
Girl Goes on Chalk Adventures During Quarantine,1,girl goes chalk adventures quarantine
"COVID-19 Registry Tracks Pregnant Women, Newborns",1,covid registry tracks pregnant women newborns
It’s Critical Parents Make Kids Follow Social Distancing Guidelines,1,critical parents make kids follow social distancing guidelines
COVID-19 Patient in Primary Care -- How to Treat?,1,covid patient primary care treat
How to Clean Common Surfaces During the COVID-19 Outbreak,1,clean common surfaces covid outbreak
Personal Protective Equipment (PPE) Burn Rate Calculator,1,personal protective equipment ppe burn rate calculator
?rump said ?undreds?of governors are calling him? we only have 50.?,0,rump said undredsof governors calling
"""Information sharing on COVID-19""",1,information sharing covid
Mexico Confirms Its First Cases of Coronavirus,1,mexico confirms first cases coronavirus
Resources to support people experiencing homelessness,1,resources support people experiencing homelessness
"COVID-19 Daily: Topol Laments Betrayal, HCP Couples Prepare",1,covid daily topol laments betrayal hcp couples prepare
WWII Vet Shows Off Dance Moves During Quarantine,1,wwii vet shows dance moves quarantine
Not Enough Tests: Doctors Starting to Limit Who Gets Tested for COVID-19,1,enough tests doctors starting limit gets tested covid
Coronavirus research: Woman with no symptoms infects five people,1,coronavirus research woman symptoms infects five people
People with Diabetes May Have Higher Risk for COVID-19: Here’s What to Do,1,people diabetes may higher risk covid heres
ACC Cancels Scientific Sessions Over Novel Coronavirus,1,acc cancels scientific sessions novel coronavirus
COVID-19 Buttons and Badges,1,covid buttons badges
The coronavirus is Òsimply the common cold.Ó,0,coronavirus simply common cold
A ÒChinese spy teamÓ working in a Canadian government lab sent Òpathogens to the Wuhan facilityÓ prior to the coronavirus outbreak.,0,chinese spy team working canadian government lab sent pathogens wuhan facility prior coronavirus outbreak
"Missing Link in Coronavirus Jump from Bats to Humans Could Be Pangolins, Not Snakes",1,missing link coronavirus jump bats humans could pangolins snakes
CMS to Front Medicare Payments to Physicians for 3 Months,1,cms front medicare payments physicians months
A poem about people staying home was written by Kathleen OÕMara in 1869.,0,poem people staying home written kathleen omara
Remdesivir for COVID Study: Benefits Not Clear,1,remdesivir covid study benefits clear
COVID-19 and rheumatoid arthritis: Risks and precautions,1,covid rheumatoid arthritis risks precautions
Food Banks Facing Shortages Due to Coronavirus,1,food banks facing shortages due coronavirus
A spray could protect against the coronavirus outbreak.,0,spray could protect coronavirus outbreak
Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19,1,heres exactly vaccines treatments covid
Vitamin C stops or slows novel coronavirus.,0,vitamin c stops slows novel coronavirus
For Child Care Programs That Remain Open,1,child care programs remain open
U.S. Now Leads World in Coronavirus Cases,1,us leads world coronavirus cases
COVID-19 and Cooling Centers,1,covid cooling centers
Researchers Develop COVID-19 Antibody Test,1,researchers develop covid antibody test
COVID-19: First Data Confirm Neurologic Symptoms Common,1,covid first data confirm neurologic symptoms common
Says Nostradamus predicted the coronavirus in a 1551 passage about a plague spreading from the east.,0,says nostradamus predicted coronavirus passage plague spreading east
AMA Asks HHS for 'Immediate' Aid to Ease Clinicians' 'Financial Peril' (if too long take out 'Immediate'),1,ama asks hhs immediate aid ease clinicians financial peril long take immediate
COMMENTARY: A Neurologist Over 60 Looks at COVID-19,1,commentary neurologist looks covid
"ÒSo Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.Ó",0,oscar health company tapped trump profit covid tests kushner company imagine profits national safety
Obesity Ups Severe COVID-19 Risk in Young Patients,1,obesity ups severe covid risk young patients
'Super Spreader' Events Increase COVID-19 Cases,1,super spreader events increase covid cases
A photo shows two Italian nurses in a hospital a few days before they got COVID-19 and died.,0,photo shows two italian nurses hospital days got covid died
People Who Vape May Face Higher Health Risks with COVID-19,1,people vape may face higher health risks covid
COVID-19 May Cause Severe Heart Condition in Kids,1,covid may cause severe heart condition kids
Is the flu contagious?,1,flu contagious
"ESC Guidance on CVD Diagnosis, Management Amid COVID-19",1,esc guidance cvd diagnosis management amid covid
The novel coronavirus is not a new virus.,0,novel coronavirus new virus
"How to Clean and Kill COVID-19, But Avoid Harsh Chemicals",1,clean kill covid avoid harsh chemicals
Post says Òpeople of color may be immune to the coronavirus because of melanin.Ó,0,post says people color may immune coronavirus melanin
ÒThereÕs magically already a vaccine available.Ó,0,theres magically already vaccine available
"COVID-19 Daily: Physician Gag Orders, 'Coronavirus Party'",1,covid daily physician gag orders coronavirus party
"""In coronavirus relief effort, Congress fell short on paid sick leave""",1,coronavirus relief effort congress fell short paid sick leave
Being Mindful of Your Mental Health During the COVID-19 Outbreak,1,mindful mental health covid outbreak
Sudden Loss of Taste and Smell Should Be Part of COVID-19 Screen,1,sudden loss taste smell part covid screen
Trump to Order Meat Processing Plants Remain Open,1,trump order meat processing plants remain open
ÒPutin has stated,0,putin stated
"COVID-19: Mitigating Loneliness, Anxiety in Seniors",1,covid mitigating loneliness anxiety seniors
Symptoms,1,symptoms
5 Tips to Help You Talk to Your Older Parents About Social Distancing,1,tips help talk older parents social distancing
Says businesses will give you free baby formula during the coronavirus outbreak.,0,says businesses give free baby formula coronavirus outbreak
Information for Healthcare Providers: COVID-19 and Pregnant Women,1,information healthcare providers covid pregnant women
Can an old method help doctors fight COVID-19?,1,old method help doctors fight covid
COVID-19 Deaths in Italy a Lesson for the US,1,covid deaths italy lesson us
"""WHO deploys rapid response teams to Italy""",1,deploys rapid response teams italy
Pet Adoptions Spike as Furry Lockdown Pals Wanted,1,pet adoptions spike furry lockdown pals wanted
Coping With Cancer During the COVID-19 Pandemic,1,coping cancer covid pandemic
"Up to 50,000 Kids May Be Hospitalized With COVID",1,kids may hospitalized covid
How 4 U.S. Cities Helped Slow Coronavirus Spread,1,us cities helped slow coronavirus spread
Posts shared thousands of times on Facebook claim to provide an emergency food stamp hotline.,0,posts shared thousands times facebook claim provide emergency food stamp hotline
Commentary: Pandemic Foreshadows Crisis in Mental Health Services,1,commentary pandemic foreshadows crisis mental health services
The United States is Òactually screening fewer people (for the coronavirus than other countries) because we donÕt have appropriate testing.Ó,0,united states actually screening fewer people coronavirus countries dont appropriate testing
Harsh Spring Allergy Season Spurs Hay Fever Fears,1,harsh spring allergy season spurs hay fever fears
First Responders and Law Enforcement,1,first responders law enforcement
Coronavirus Outbreak in China Traced to Snakes,1,coronavirus outbreak china traced snakes
Italy has mandated no treatment of all elderly patients for coronavirus.,0,italy mandated treatment elderly patients coronavirus
COVID-19 live updates: Total number of cases passes 3.2 million,1,covid live updates total number cases passes million
A picture of a reporter in protective medical gear is an example of how the American media ÒhypesÓ the COVID-19 pandemic.,0,picture reporter protective medical gear example american media hypes covid pandemic
"Posts shared more than 20,000 times on Facebook feature a photo of a crying child and two others showing a woman and a man in hospital beds, claiming that the boyÕs parents are infected with the novel coronavirus",0,posts shared times facebook feature photo crying child two others showing woman man hospital beds claiming boys parents infected novel coronavirus
"Remdesivir Now 'Standard of Care' for COVID-19, Fauci Says",1,remdesivir standard care covid fauci says
What to Know About COVID-19 Testing Right Now,1,know covid testing right
Who is really on the front line of the COVID-19 pandemic?,1,really front line covid pandemic
Trump Details Machine to Decontaminate N95 Masks,1,trump details machine decontaminate n masks
Photo on biography of a boy who died from coronavirus.,0,photo biography boy died coronavirus
Commercial Labs,1,commercial labs
"COVID-19: Symptoms, incubation, prevention, and more",1,covid symptoms incubation prevention
Preparing for COVID-19: Priorities for the US,1,preparing covid priorities us
U.S. Hospital Beds Were Maxed Out Before Pandemic,1,us hospital beds maxed pandemic
Tiny airborne particles may carry the new coronavirus,1,tiny airborne particles may carry new coronavirus
COVID-19: Are Acute Stroke Patients Avoiding Emergency Care?,1,covid acute stroke patients avoiding emergency care
Parasite Drug Shows Early Promise Against COVID-19,1,parasite drug shows early promise covid
Fauci on Easter Re-Opening: 'Be Very Flexible',1,fauci easter reopening flexible
Claim that Òthere is noÓ COVID-19 virus.,0,claim covid virus
Top German virologist JŸrgen Rissland recommended drinking whiskey to combat COVID-19.,0,top german virologist jrgen rissland recommended drinking whiskey combat covid
The CDC recommends men shave their beards to protect against coronavirus.,0,cdc recommends men shave beards protect coronavirus
Two Emergency Physicians Remain in Critical Condition From COVID-19,1,two emergency physicians remain critical condition covid
"Chlorine dioxide kits sold online under various ÒMMSÓ names Ñ Miracle Mineral Solution, Miracle Mineral Supplement, Master Mineral Solution Ñ will cure the coronavirus.",0,chlorine dioxide kits sold online various mms names miracle mineral solution miracle mineral supplement master mineral solution cure coronavirus
Preventing the Spread of COVID-19 in Retirement Communities and Independent Living Facilities (Interim Guidance),1,preventing spread covid retirement communities independent living facilities interim guidance
Cristiano Ronaldo bought private island to escape coronavirus.,0,cristiano ronaldo bought private island escape coronavirus
"Consensus Statement on Chest Imaging in Patients with COVID-19 (Fleischner Society, 2020)",1,consensus statement chest imaging patients covid fleischner society
ÒEveryone is only dying of coronavirus now.Ó,0,everyone dying coronavirus
There Are 4 FDA-Approved Drugs to Treat Flu Symptoms — Here’s What to Know,1,fdaapproved drugs treat flu symptoms heres know
Knowing More About a Virus Threat May Not Satisfy You,1,knowing virus threat may satisfy
What type of cells does the novel coronavirus attack?,1,type cells novel coronavirus attack
Trump: Toughest COVID-19 Weeks To Come,1,trump toughest covid weeks come
"COVID-19: China’s early travel ban may have averted 700,000 cases",1,covid chinas early travel ban may averted cases
CDC to Conduct Antibody Testing in Atlanta Area,1,cdc conduct antibody testing atlanta area
Of the Trump administrationÕs European travel restrictions that exempt the U.K.,0,trump administrations european travel restrictions exempt uk
"""Social Distancing, Quarantine, and Isolation""",1,social distancing quarantine isolation
Cardiac Arrests On the Rise During COVID-19 Crisis,1,cardiac arrests rise covid crisis
Hydroxychloroquine: Possible COVID Drug Can Be Toxic to Retinas,1,hydroxychloroquine possible covid drug toxic retinas
"""Statement of the Twenty-Fourth IHR Emergency Committee""",1,statement twentyfourth ihr emergency committee
Strategies for Optimizing the Supply of Isolation Gowns,1,strategies optimizing supply isolation gowns
"Video of a waitress saying, ÒI lost my job. But IÕll sleep better knowingÓ that the coronavirus relief bill included funding for the Kennedy Center, refugee resettlement, PBS, and congressional salaries",0,video waitress saying lost job ill sleep better knowing coronavirus relief bill included funding kennedy center refugee resettlement pbs congressional salaries
"""New WHO recommendations to prevent tuberculosis aim to save millions of lives""",1,new recommendations prevent tuberculosis aim save millions lives
In New York Òevery contaminated corpse belongs to the stateÓ and will be incinerated without any Òwakes or memorial services to pay your last respects.Ó,0,new york every contaminated corpse belongs state incinerated without wakes memorial services pay last respects
ÒMSNBC actually said on air ÔI hope enough people die from coronavirus that it harms TrumpÕs re-election.ÕÓ,0,msnbc actually said air hope enough people die coronavirus harms trumps reelection
"""Cuomo accurately says that other countries that reopened saw an increase in coronavirus infections""",1,cuomo accurately says countries reopened saw increase coronavirus infections
Information for Laboratories,1,information laboratories
Gargling water with salt or vinegar ÒeliminatesÓ the coronavirus.,0,gargling water salt vinegar eliminates coronavirus
ÒU.S. deaths since 1/22/20,0,us deaths since
"""In Italy, people must stay home except for work or emergencies""",1,italy people must stay home except work emergencies
COVID-19 and asthma: Risks and precautions,1,covid asthma risks precautions
"""WHO and UNICEF to partner on pandemic response through COVID-19 Solidarity Response Fund""",1,unicef partner pandemic response covid solidarity response fund
A series of statements by Joe Biden claiming he called for action before he did,0,series statements joe biden claiming called action
"Six ways home-based cardiac rehab keeps patients safe, healthy during COVID-19",1,six ways homebased cardiac rehab keeps patients safe healthy covid
Walking pneumonia vs pneumonia: What is the difference?,1,walking pneumonia vs pneumonia difference
COVID-19: Is Primary Care Ready to Switch to Telemedicine?,1,covid primary care ready switch telemedicine
Officials Push Masks For COVID Despite Mixed Data,1,officials push masks covid despite mixed data
Antiviral Drug Combo Ineffective Vs. Coronavirus,1,antiviral drug combo ineffective vs coronavirus
People are handing out masks Òdoused with chemicals which knocks you out coldÓ so they can rob you.,0,people handing masks doused chemicals knocks cold rob
Nancy Pelosi tried to secure taxpayer funds for abortion through a coronavirus bill.,0,nancy pelosi tried secure taxpayer funds abortion coronavirus bill
CDC Coronavirus Testing Decision To Haunt Nation,1,cdc coronavirus testing decision haunt nation
COVID-19 Continues to Strike Men Harder Than Women,1,covid continues strike men harder women
Previous COVID-19 Forecasts,1,previous covid forecasts
"""WHO/PAHO Prepares Barbados for COVID-19 Testing""",1,whopaho prepares barbados covid testing
Did Kennedy Center give DNC $5 million after getting relief from coronavirus stimulus?,0,kennedy center give dnc million getting relief coronavirus stimulus
ÒCOVID-19 started because we eat animals.Ó,0,covid started eat animals
COVID-19 vs. previous pandemics,1,covid vs previous pandemics
K-12 Schools and Childcare Programs,1,k schools childcare programs
Hand-Washing to Prevent Coronavirus Spread,1,handwashing prevent coronavirus spread
When Will We Know If the Coronavirus Is a Global Pandemic?,1,know coronavirus global pandemic
ÒSunlight actually can kill the [novel coronavirus].Ó,0,sunlight actually kill novel coronavirus
ÒMore people have died from knowing Hillary (Clinton)Ó than from coronavirus.,0,people died knowing hillary clinton coronavirus
Steps Healthcare Facilities Can Take,1,steps healthcare facilities take
Cleveland Clinic and SAS share COVID-19 predictive models to help hospitals plan for current and future needs,1,cleveland clinic sas share covid predictive models help hospitals plan current future needs
Potential COVID-19 Plateau Seen in NY and NJ,1,potential covid plateau seen ny nj
Posts shared thousands of times on Facebook claim to provide an emergency food stamp hotline.,0,posts shared thousands times facebook claim provide emergency food stamp hotline
Laboratory Work,1,laboratory work
What to do if you start to feel COVID-19 symptoms,1,start feel covid symptoms
"Coronavirus Daily Digest: March 24, 2020",1,coronavirus daily digest march
President Donald Trump is Òannouncing tomorrow that the U.S. is going into quarantine for the next 14 days.Ó,0,president donald trump announcing tomorrow us going quarantine next days
Could We Be Stuck With Physical Distancing Until 2022?,1,could stuck physical distancing
Is blood type linked to coronavirus infection risk?,1,blood type linked coronavirus infection risk
"Crohn's and COVID-19: Risks, prevention, and treatment",1,crohns covid risks prevention treatment
"""Bacille Calmette-Guérin (BCG) vaccination and COVID-19""",1,bacille calmettegurin bcg vaccination covid
Says Nancy PelosiÕs Òdaughter is on the board of the Kennedy Center so thatÕs why it was so important to send them all that money.Ó,0,says nancy pelosis daughter board kennedy center thats important send money
Post says ÒPresident Trump has come into contact with a potential coronavirus sufferer!Ó,0,post says president trump come contact potential coronavirus sufferer
Israeli recipe for lemon and bicarbonate drink is a coronavirus cure.,0,israeli recipe lemon bicarbonate drink coronavirus cure
First U.S. Case of China Coronavirus Diagnosed,1,first us case china coronavirus diagnosed
Interim Guidance for Businesses and Employers,1,interim guidance businesses employers
A post shared thousands of times on Facebook lists companies whose chief executive officers have allegedly stepped down during the novel coronavirus crisis.,0,post shared thousands times facebook lists companies whose chief executive officers allegedly stepped novel coronavirus crisis
CMS Suspends Advance Payment Program to Clinicians for COVID-19,1,cms suspends advance payment program clinicians covid
Helicopters Are Spraying Disinfectants To Try To Eradicate Coronavirus.,0,helicopters spraying disinfectants try eradicate coronavirus
CDC’s role in helping cruise ship travelers during the COVID-19 pandemic,1,cdcs role helping cruise ship travelers covid pandemic
"COVID-19 Enforcement Policy for Sterilizers, Disinfectant Devices, and Air Purifiers (FDA, 2020)",1,covid enforcement policy sterilizers disinfectant devices air purifiers fda
Evaluating and Reporting Persons Under Investigation (PUI),1,evaluating reporting persons investigation pui
"Understanding How COVID-19 Affects Children Vital to Slowing Pandemic, Doctors Say",1,understanding covid affects children vital slowing pandemic doctors say
"Coronavirus Spreads Quickly and Sometimes Before People Have Symptoms, Study Finds",1,coronavirus spreads quickly sometimes people symptoms study finds
ÒThereÕs magically already a vaccine available.Ó,0,theres magically already vaccine available
The coronavirus can be slowed or stopped with the Òimmediate widespread use of high doses of vitamin C.Ó,0,coronavirus slowed stopped immediate widespread use high doses vitamin c
Congress included include a raise for themselves in the coronavirus stimulus package.,0,congress included include raise coronavirus stimulus package
Team Doctors Jump In After Professional Athletes Benched,1,team doctors jump professional athletes benched
The common cold is the only type of coronavirus.,0,common cold type coronavirus
Community Mitigation,1,community mitigation
ÒThe Chinese Communist Party is using Zoom as a way to spy on our citizens.Ó,0,chinese communist party using zoom way spy citizens
Strategies for Optimizing Supply of N95 Respirators,1,strategies optimizing supply n respirators
Institutes of Higher Education,1,institutes higher education
How People in Addiction Recovery Are Dealing with the Isolation of COVID-19,1,people addiction recovery dealing isolation covid
COVID-19: Occupational groups that are at high risk,1,covid occupational groups high risk
Many Daycare Centers Don’t Require Kids or Adults to Get Flu Shots,1,many daycare centers dont require kids adults get flu shots
Rapid Weather Swings Increase Flu Risk,1,rapid weather swings increase flu risk
New Drug Target Found for COVID-19,1,new drug target found covid
New Protective Respirator for Health Care Workers,1,new protective respirator health care workers
Commentary: What Neurologists Can Expect From COVID-19,1,commentary neurologists expect covid
False-negative COVID-19 test results may lead to false sense of security,1,falsenegative covid test results may lead false sense security
"""House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco.""",0,house representatives speaker nancy pelosi posted deleted video twitter account calls people visit chinatown san francisco
Caring for Someone Who Is Sick,1,caring someone sick
Novel Coronavirus That Recently Emerged in China,1,novel coronavirus recently emerged china
I Never Get Sick. Why Do I Need the Flu Shot?,1,never get sick need flu shot
Median incubation period for COVID-19,1,median incubation period covid
Guidance Documents,1,guidance documents
"Higher Temps, Humidity May Help Against COVID",1,higher temps humidity may help covid
"""Ensuring continuity of TB services during the COVID-19 pandemic""",1,ensuring continuity tb services covid pandemic
"President Donald Trump Òcut funding to the CDC,Ó Òfired the Pandemic Response Team,Ó Òrefused WHO testsÓ and Òwasted two weeks calling this outbreak a ÔDemocrat hoax.ÕÓ",0,president donald trump cut funding cdc fired pandemic response team refused tests wasted two weeks calling outbreak democrat hoax
Publications,1,publications
Identify Strategies to Reduce Spread of COVID-19,1,identify strategies reduce spread covid
"""Yes, San Francisco residents formed Anti-Mask League during 1918 flu""",1,yes san francisco residents formed antimask league flu
Cases & Latest Updates,1,cases latest updates
COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus,1,commentary iranian doctors dance defy coronavirus
Nephrologists on Lessons Learned With Kidney Disease in COVID-19,1,nephrologists lessons learned kidney disease covid
FDA Gives Remdesivir Emergency Authorization,1,fda gives remdesivir emergency authorization
"Charles Lieber, a Harvard University professor who was arrested, had a connection to the new coronavirus.",0,charles lieber harvard university professor arrested connection new coronavirus
Trending Clinical Topic: Social Distancing,1,trending clinical topic social distancing
Testing,1,testing
New York Orders Hospitals to Increase Capacity,1,new york orders hospitals increase capacity
U.S. Marks Deadliest Day of Coronavirus Crisis,1,us marks deadliest day coronavirus crisis
CDC sponsored Facebook post asking for help with ÒescapedÓ coronavirus patient.,0,cdc sponsored facebook post asking help escaped coronavirus patient
"Why a Virtual Visit to the Doctor May Be the Safest, Most Affordable Option",1,virtual visit doctor may safest affordable option
When will the COVID-19 pandemic be over?,1,covid pandemic
VA Health System Swamped by Coronavirus Patients,1,va health system swamped coronavirus patients
A video says Òthe coronavirus was invented and patented in the USA and then planted in China.Ó,0,video says coronavirus invented patented usa planted china
"Coronavirus Daily Digest: April 15, 2020",1,coronavirus daily digest april
Event 201 Ògave out stuffed souvenir coronavirus toysÓ to ÒcommemorateÓ novel coronavirus outbreak.,0,event gave stuffed souvenir coronavirus toys commemorate novel coronavirus outbreak
"Zuckerberg, Gates Give Millions to COVID-19 Fight",1,zuckerberg gates give millions covid fight
Global case numbers are reported by the World Health Organization (WHO),1,global case numbers reported world health organization
Man did pass along coronavirus infection at a WalMart in Louisiana.,0,man pass along coronavirus infection walmart louisiana
Cocaine kills the coronavirus.,0,cocaine kills coronavirus
Domestic Animals Link Virus Spread Among Humans and Wildlife,1,domestic animals link virus spread among humans wildlife
A NYC Man With Suspected Coronavirus Drops Dead in the Middle of the Street.,0,nyc man suspected coronavirus drops dead middle street
Novel Coronavirus (COVID-19) Imaging Features Overlap With SARS and MERS,1,novel coronavirus covid imaging features overlap sars mers
ÒFlorida hospital reports a coronavirus ÔinfestationÕ with multiple confirmed patients.Ó,0,florida hospital reports coronavirus infestation multiple confirmed patients
Coronavirus found in toilet paper.,0,coronavirus found toilet paper
"""COVID 19: Occupational Health""",1,covid occupational health
Smokers Hospitalized Less Often for COVID-19,1,smokers hospitalized less often covid
ÒThe Obama administration made a decision on testing that turned out to be very detrimental to what weÕre doingÓ on the coronavirus.,0,obama administration made decision testing turned detrimental coronavirus
Coronavirus Social: Facebook Physician Memorial,1,coronavirus social facebook physician memorial
"COVID-19: Social distancing, drug trials offer hope",1,covid social distancing drug trials offer hope
Italian Authorities Cite Heartening Statistics,1,italian authorities cite heartening statistics
"NY Governor Andrew Cuomo did not reject buying 16,000 ventilators in 2015.",0,ny governor andrew cuomo reject buying ventilators
66 Coronavirus Cases in Maryland Nursing Home,1,coronavirus cases maryland nursing home
General Business Frequently Asked Questions,1,general business frequently asked questions
Trending Clinical Topic: Ventilators,1,trending clinical topic ventilators
"ÒWith regard to the cost, let me be very clear",0,regard cost let clear
LA Offers All Residents Free COVID-19 Tests,1,la offers residents free covid tests
Sleep Troubles Hit Health Care Workers,1,sleep troubles hit health care workers
Interim Guidance for Implementing Home Care of People Not Requiring Hospitalization for Coronavirus Disease 2019 (COVID-19),1,interim guidance implementing home care people requiring hospitalization coronavirus disease covid
"""WHO updates COVID-19 dashboard with better data visualization""",1,updates covid dashboard better data visualization
"Traffic Down, Dangerous Crashes Up During Pandemic",1,traffic dangerous crashes pandemic
"In the United States, there are Ò360,000 (deaths) a year from swimming pools. But we donÕt shut the country down for that.Ó",0,united states deaths year swimming pools dont shut country
Cytokine Storms May Be Fueling Some COVID Deaths,1,cytokine storms may fueling covid deaths
Trump: No Mask? Try Scarf for COVID-19 Protection,1,trump mask try scarf covid protection
How a Pet Can Help You While You Shelter in Place,1,pet help shelter place
Guidance for Administrators in Parks and Recreational Facilities,1,guidance administrators parks recreational facilities
Scientists from Australia create the first vaccine for novel coronavirus,0,scientists australia create first vaccine novel coronavirus
The CDC now says that the coronavirus can survive on surfaces for up to 17 days.,0,cdc says coronavirus survive surfaces days
Communication Toolkit for Airlines to inform Travelers and Crew,1,communication toolkit airlines inform travelers crew
Travel: Frequently Asked Questions and Answers,1,travel frequently asked questions answers
"A photo taken by a journalist showing a beach in Jacksonville, Florida, isnÕt from after the government reopened the beach as news reports have claimed.",0,photo taken journalist showing beach jacksonville florida isnt government reopened beach news reports claimed
New Coronavirus May be Cause of Outbreak in China,1,new coronavirus may cause outbreak china
COVID-19: 5 reasons to be cautiously hopeful,1,covid reasons cautiously hopeful
Top 10 Tips for Diabetes Telehealth Prophetic in Face of COVID-19,1,top tips diabetes telehealth prophetic face covid
Experts condemn 'rumors and misinformation' about coronavirus,1,experts condemn rumors misinformation coronavirus
Medical Helpline Calls Soar as COVID-19 Spreads,1,medical helpline calls soar covid spreads
"New Vaccine Protects from Widespread, Costly Infection, Mice Study Shows",1,new vaccine protects widespread costly infection mice study shows
Video from China shows people fleeing from coronavirus quarantine.,0,video china shows people fleeing coronavirus quarantine
Week-Old COVID-19 Urology Guidelines Already Outdated,1,weekold covid urology guidelines already outdated
"Coronavirus tests: Methods, availability, and accuracy",1,coronavirus tests methods availability accuracy
Romania developed a coronavirus vaccine able to cure white people only.,0,romania developed coronavirus vaccine able cure white people
New 'Universal' Target for Antiviral Treatment,1,new universal target antiviral treatment
"COVID-19 Vaccine Candidate Shows Promise, Research Shows",1,covid vaccine candidate shows promise research shows
